id x y z yaw    
1 0.58 0.0 0.0 0.0
2 0.58 0.0 0.0 0.0
3 1.01 0.0 0.0 0.0
4 1.01 0.0 0.0 0.0
5 1.50 0.0 0.0 0.0
6 1.50 0.0 0.0 0.0
7 2.01 0.0 0.0 0.0
8 2.01 0.0 0.0 0.0
9 2.30 0.0 0.0 0.0
10 2.30 -0.930 0.0 -1.5708
11 2.30 -0.930 0.0 -1.5708
12 2.05 -0.930 0.0 3.1416
13 1.55 -0.930 0.0 3.1416
14 1.05 -0.930 0.0 3.1416
15 0.55 -0.930 0.0 3.1416
16 2.05 -0.930 0.0 0.0
17 1.55 -0.930 0.0 3.1416
18 1.05 -0.930 0.0 3.1416
19 0.55 2.50 0.0 3.1416
20 1.80 1.95 0.0 4.7324
21 1.80 1.45 0.0 4.7324
22 1.80 0.95 0.0 4.7324
23 1.80 0.45 0.0 4.7324
24 1.80 1.95 0.0 4.7324
25 1.80 1.45 0.0 4.7324
26 1.80 0.95 0.0 4.7324
27 1.80 0.45 0.0 4.7324
28 2.50 1.95 0.0 4.7324
29 2.50 1.45 0.0 4.7324
30 2.50 0.95 0.0 4.7324
31 2.50 0.45 0.0 4.7324
32 3.35 1.95 0.0 4.7324
33 3.30 1.50 0.0 4.7324
34 3.30 1.50 0.0 4.7324
35 3.30 0.90 0.0 4.7324
36 3.30 0.90 0.0 4.7324
37 3.30 0.30 0.0 4.7324
38 3.30 0.30 0.0 4.7324
39 4.00 0.30 0.0 1.5708
40 4.00 0.90 0.0 1.5708
41 4.00 1.50 0.0 1.5708
42 3.20 2.50 0.0 0.0
